disease_name,symptoms,department_name
Sốt phát ban,"sốt cao, phát ban, mệt mỏi, đau đầu, hạch to, đau cơ, đau họng, biếng ăn",Nội khoa
Sốt phát ban,"mệt mỏi, đau họng, đau đầu, sốt cao",Nội khoa
Sốt phát ban,"mệt mỏi, phát ban, hạch to, đau cơ, biếng ăn, đau họng, sốt cao",Nội khoa
Sốt phát ban,"đau cơ, đau họng, hạch to, đau đầu, sốt cao, phát ban, mệt mỏi, biếng ăn",Nội khoa
Sốt phát ban,"biếng ăn, đau cơ, hạch to, đau họng, phát ban, đau đầu, mệt mỏi",Nội khoa
Sốt phát ban,"hạch to, sốt cao, đau họng, biếng ăn",Nội khoa
Sốt phát ban,"sốt cao, phát ban, đau đầu, hạch to, mệt mỏi, đau họng, đau cơ, biếng ăn",Nội khoa
Sốt phát ban,"mệt mỏi, sốt cao, đau cơ, biếng ăn",Nội khoa
Sốt phát ban,"đau cơ, đau họng, hạch to, mệt mỏi, phát ban, biếng ăn, sốt cao, đau đầu",Nội khoa
Sốt phát ban,"đau cơ, biếng ăn, đau đầu, mệt mỏi, phát ban, đau họng",Nội khoa
Quai bị,"sốt cao, sưng hạch cổ, đau lan hàm, khó nuốt, đau đầu, đau cơ, mệt mỏi, chán ăn",Nội khoa
Quai bị,"đau lan hàm, sưng hạch cổ, sốt cao, mệt mỏi, đau đầu",Nội khoa
Quai bị,"đau đầu, sưng hạch cổ, sốt cao, đau lan hàm, đau cơ, chán ăn",Nội khoa
Quai bị,"khó nuốt, đau lan hàm, mệt mỏi, sưng hạch cổ, sốt cao",Nội khoa
Quai bị,"đau đầu, sưng hạch cổ, đau lan hàm, sốt cao, đau cơ, mệt mỏi, khó nuốt",Nội khoa
Quai bị,"sưng hạch cổ, đau lan hàm, mệt mỏi, đau cơ, sốt cao, đau đầu, khó nuốt",Nội khoa
Quai bị,"chán ăn, đau đầu, sốt cao, khó nuốt, mệt mỏi",Nội khoa
Quai bị,"đau cơ, đau lan hàm, mệt mỏi, đau đầu, khó nuốt, chán ăn, sốt cao",Nội khoa
Quai bị,"đau đầu, khó nuốt, chán ăn, đau lan hàm",Nội khoa
Quai bị,"sốt cao, mệt mỏi, chán ăn, đau cơ, sưng hạch cổ, đau đầu, khó nuốt, đau lan hàm",Nội khoa
Sởi,"sốt cao, phát ban, ho khan, đỏ mắt, chảy nước mắt, sổ mũi, mệt mỏi, đau họng",Nội khoa
Sởi,"đỏ mắt, phát ban, sốt cao, mệt mỏi, sổ mũi, đau họng, ho khan",Nội khoa
Sởi,"sốt cao, phát ban, đau họng, đỏ mắt, sổ mũi, mệt mỏi",Nội khoa
Sởi,"mệt mỏi, chảy nước mắt, phát ban, sổ mũi, đau họng, ho khan, sốt cao, đỏ mắt",Nội khoa
Sởi,"đỏ mắt, sốt cao, đau họng, mệt mỏi",Nội khoa
Sởi,"mệt mỏi, phát ban, sổ mũi, ho khan, đau họng, chảy nước mắt, đỏ mắt",Nội khoa
Sởi,"ho khan, chảy nước mắt, đỏ mắt, phát ban, sốt cao",Nội khoa
Sởi,"chảy nước mắt, đỏ mắt, phát ban, mệt mỏi, ho khan",Nội khoa
Sởi,"mệt mỏi, sổ mũi, đỏ mắt, phát ban, chảy nước mắt, sốt cao, đau họng, ho khan",Nội khoa
Sởi,"đau họng, đỏ mắt, sốt cao, ho khan, sổ mũi, mệt mỏi, phát ban",Nội khoa
Thủy đậu,"sốt nhẹ, phát ban, mụn nước, ngứa da, mệt mỏi, đau đầu, biếng ăn, đau cơ",Nội khoa
Thủy đậu,"đau cơ, biếng ăn, phát ban, đau đầu, mệt mỏi, sốt nhẹ, ngứa da, mụn nước",Nội khoa
Thủy đậu,"ngứa da, sốt nhẹ, mụn nước, phát ban, đau cơ, đau đầu, biếng ăn",Nội khoa
Thủy đậu,"phát ban, đau cơ, sốt nhẹ, biếng ăn",Nội khoa
Thủy đậu,"phát ban, mụn nước, ngứa da, đau đầu, sốt nhẹ",Nội khoa
Thủy đậu,"sốt nhẹ, đau đầu, đau cơ, phát ban, biếng ăn, mệt mỏi, mụn nước, ngứa da",Nội khoa
Thủy đậu,"biếng ăn, đau cơ, đau đầu, mệt mỏi",Nội khoa
Thủy đậu,"đau cơ, mụn nước, đau đầu, biếng ăn, mệt mỏi, sốt nhẹ",Nội khoa
Thủy đậu,"biếng ăn, mụn nước, ngứa da, phát ban, đau cơ, đau đầu, mệt mỏi",Nội khoa
Thủy đậu,"phát ban, mệt mỏi, ngứa da, biếng ăn",Nội khoa
Rubella,"sốt nhẹ, phát ban, hạch to, sưng hạch cổ, đau khớp, đau đầu, mệt mỏi",Nội khoa
Rubella,"mệt mỏi, hạch to, sưng hạch cổ, sốt nhẹ, đau khớp, phát ban",Nội khoa
Rubella,"phát ban, sốt nhẹ, đau đầu, hạch to, mệt mỏi, đau khớp, sưng hạch cổ",Nội khoa
Rubella,"phát ban, hạch to, sưng hạch cổ",Nội khoa
Rubella,"đau đầu, sưng hạch cổ, đau khớp, hạch to, mệt mỏi",Nội khoa
Rubella,"phát ban, đau khớp, hạch to, đau đầu, sưng hạch cổ",Nội khoa
Rubella,"sốt nhẹ, đau khớp, mệt mỏi, phát ban, đau đầu",Nội khoa
Rubella,"hạch to, phát ban, mệt mỏi",Nội khoa
Rubella,"sốt nhẹ, phát ban, hạch to, đau khớp",Nội khoa
Rubella,"đau đầu, sốt nhẹ, hạch to, phát ban, mệt mỏi, đau khớp, sưng hạch cổ",Nội khoa
Sốt rét,"sốt từng cơn, rét run, vã mồ hôi, đau đầu, mệt mỏi, buồn nôn, đau cơ, da xanh tái",Nội khoa
Sốt rét,"đau cơ, đau đầu, buồn nôn, sốt từng cơn, da xanh tái, mệt mỏi",Nội khoa
Sốt rét,"đau đầu, da xanh tái, mệt mỏi, sốt từng cơn",Nội khoa
Sốt rét,"đau đầu, sốt từng cơn, mệt mỏi, vã mồ hôi, da xanh tái, buồn nôn, đau cơ",Nội khoa
Sốt rét,"đau đầu, da xanh tái, đau cơ, sốt từng cơn, buồn nôn, rét run",Nội khoa
Sốt rét,"đau đầu, sốt từng cơn, buồn nôn, vã mồ hôi, rét run, da xanh tái",Nội khoa
Sốt rét,"buồn nôn, đau đầu, sốt từng cơn, vã mồ hôi, da xanh tái, mệt mỏi, rét run",Nội khoa
Sốt rét,"rét run, buồn nôn, sốt từng cơn, đau đầu, vã mồ hôi, mệt mỏi, đau cơ",Nội khoa
Sốt rét,"mệt mỏi, da xanh tái, buồn nôn, rét run",Nội khoa
Sốt rét,"da xanh tái, mệt mỏi, đau cơ, buồn nôn, rét run, đau đầu, sốt từng cơn, vã mồ hôi",Nội khoa
Sốt xuất huyết Dengue,"sốt cao, đau đầu dữ dội, đau sau hốc mắt, đau cơ, đau khớp, phát ban, xuất huyết da, chảy máu mũi",Nội khoa
Sốt xuất huyết Dengue,"đau sau hốc mắt, chảy máu mũi, phát ban, đau cơ",Nội khoa
Sốt xuất huyết Dengue,"đau cơ, chảy máu mũi, xuất huyết da, phát ban, đau sau hốc mắt, đau khớp, đau đầu dữ dội, sốt cao",Nội khoa
Sốt xuất huyết Dengue,"đau khớp, đau cơ, đau sau hốc mắt, phát ban, đau đầu dữ dội, xuất huyết da, chảy máu mũi, sốt cao",Nội khoa
Sốt xuất huyết Dengue,"sốt cao, xuất huyết da, đau cơ, chảy máu mũi, đau khớp",Nội khoa
Sốt xuất huyết Dengue,"đau sau hốc mắt, chảy máu mũi, đau cơ, phát ban",Nội khoa
Sốt xuất huyết Dengue,"sốt cao, xuất huyết da, chảy máu mũi, đau đầu dữ dội, đau khớp, đau cơ, đau sau hốc mắt",Nội khoa
Sốt xuất huyết Dengue,"đau sau hốc mắt, phát ban, đau khớp, chảy máu mũi",Nội khoa
Sốt xuất huyết Dengue,"xuất huyết da, phát ban, chảy máu mũi, đau đầu dữ dội, đau sau hốc mắt, sốt cao, đau cơ, đau khớp",Nội khoa
Sốt xuất huyết Dengue,"sốt cao, đau đầu dữ dội, đau cơ, xuất huyết da, phát ban, đau sau hốc mắt, chảy máu mũi",Nội khoa
Thương hàn,"sốt cao, đau đầu, đau bụng, tiêu chảy, táo bón, mệt mỏi, chán ăn, phát ban",Nội khoa
Thương hàn,"sốt cao, phát ban, tiêu chảy, đau đầu, đau bụng, mệt mỏi, chán ăn, táo bón",Nội khoa
Thương hàn,"sốt cao, tiêu chảy, phát ban, mệt mỏi, đau bụng, chán ăn",Nội khoa
Thương hàn,"sốt cao, tiêu chảy, chán ăn, táo bón, mệt mỏi, phát ban, đau đầu",Nội khoa
Thương hàn,"táo bón, phát ban, chán ăn, tiêu chảy, đau đầu, đau bụng",Nội khoa
Thương hàn,"táo bón, chán ăn, tiêu chảy, sốt cao, đau đầu, mệt mỏi, đau bụng, phát ban",Nội khoa
Thương hàn,"táo bón, đau bụng, mệt mỏi, chán ăn, đau đầu, phát ban, sốt cao",Nội khoa
Thương hàn,"chán ăn, phát ban, đau đầu, tiêu chảy, sốt cao",Nội khoa
Thương hàn,"mệt mỏi, phát ban, chán ăn, tiêu chảy, sốt cao, đau bụng",Nội khoa
Thương hàn,"đau đầu, đau bụng, tiêu chảy, sốt cao, táo bón, chán ăn, phát ban, mệt mỏi",Nội khoa
COVID-19,"sốt cao, ho khan, khó thở, mệt mỏi, đau cơ, mất mùi, mất vị giác, đau họng",Nội khoa
COVID-19,"mệt mỏi, mất mùi, đau cơ, khó thở",Nội khoa
COVID-19,"đau cơ, mất vị giác, ho khan, sốt cao, khó thở, mất mùi, đau họng, mệt mỏi",Nội khoa
COVID-19,"mất mùi, sốt cao, khó thở, đau cơ, đau họng, mệt mỏi, mất vị giác",Nội khoa
COVID-19,"đau họng, mệt mỏi, đau cơ, sốt cao",Nội khoa
COVID-19,"mất mùi, khó thở, mệt mỏi, đau họng",Nội khoa
COVID-19,"mất mùi, đau cơ, sốt cao, mệt mỏi",Nội khoa
COVID-19,"mệt mỏi, khó thở, mất mùi, sốt cao, đau họng, mất vị giác, đau cơ",Nội khoa
COVID-19,"ho khan, đau cơ, mệt mỏi, sốt cao, khó thở, mất mùi",Nội khoa
COVID-19,"mệt mỏi, sốt cao, đau cơ, mất mùi, ho khan, đau họng, mất vị giác, khó thở",Nội khoa
Cúm A H1N1,"sốt cao, ho khan, đau cơ, đau đầu, mệt mỏi, sổ mũi, đau họng, ớn lạnh",Nội khoa
Cúm A H1N1,"ho khan, đau cơ, mệt mỏi, đau họng, sốt cao",Nội khoa
Cúm A H1N1,"sốt cao, mệt mỏi, sổ mũi, đau họng, ho khan",Nội khoa
Cúm A H1N1,"ho khan, ớn lạnh, đau họng, sổ mũi, sốt cao",Nội khoa
Cúm A H1N1,"ớn lạnh, đau cơ, sốt cao, ho khan",Nội khoa
Cúm A H1N1,"đau cơ, mệt mỏi, đau đầu, ớn lạnh",Nội khoa
Cúm A H1N1,"đau cơ, đau họng, sổ mũi, sốt cao, ho khan, mệt mỏi, ớn lạnh, đau đầu",Nội khoa
Cúm A H1N1,"mệt mỏi, đau cơ, ớn lạnh, ho khan",Nội khoa
Cúm A H1N1,"sổ mũi, mệt mỏi, ớn lạnh, sốt cao, đau cơ, ho khan, đau họng, đau đầu",Nội khoa
Cúm A H1N1,"mệt mỏi, sổ mũi, đau cơ, đau đầu, đau họng",Nội khoa
Viêm gan A cấp,"vàng da, vàng mắt, mệt mỏi, chán ăn, buồn nôn, đau hạ sườn phải, sốt nhẹ, nước tiểu sẫm",Nội khoa
Viêm gan A cấp,"nước tiểu sẫm, vàng mắt, vàng da, chán ăn, buồn nôn, đau hạ sườn phải",Nội khoa
Viêm gan A cấp,"mệt mỏi, sốt nhẹ, buồn nôn, đau hạ sườn phải, vàng da",Nội khoa
Viêm gan A cấp,"nước tiểu sẫm, đau hạ sườn phải, mệt mỏi, buồn nôn",Nội khoa
Viêm gan A cấp,"vàng mắt, buồn nôn, mệt mỏi, vàng da, nước tiểu sẫm",Nội khoa
Viêm gan A cấp,"buồn nôn, mệt mỏi, vàng da, nước tiểu sẫm, vàng mắt, đau hạ sườn phải, chán ăn",Nội khoa
Viêm gan A cấp,"sốt nhẹ, vàng mắt, nước tiểu sẫm, vàng da, buồn nôn",Nội khoa
Viêm gan A cấp,"buồn nôn, nước tiểu sẫm, mệt mỏi, vàng da, chán ăn, vàng mắt, đau hạ sườn phải",Nội khoa
Viêm gan A cấp,"sốt nhẹ, vàng mắt, buồn nôn, nước tiểu sẫm, đau hạ sườn phải, chán ăn",Nội khoa
Viêm gan A cấp,"buồn nôn, đau hạ sườn phải, sốt nhẹ, nước tiểu sẫm",Nội khoa
Tăng huyết áp,"đau đầu, đau gáy, chóng mặt, hồi hộp, mờ mắt, ù tai, đỏ mặt từng cơn, đau ngực",Tim mạch
Tăng huyết áp,"mờ mắt, đau ngực, đau đầu, hồi hộp",Tim mạch
Tăng huyết áp,"ù tai, đau ngực, đỏ mặt từng cơn, mờ mắt, chóng mặt",Tim mạch
Tăng huyết áp,"hồi hộp, đau ngực, mờ mắt, đau gáy, chóng mặt",Tim mạch
Tăng huyết áp,"đỏ mặt từng cơn, hồi hộp, đau đầu, đau ngực, chóng mặt, đau gáy, mờ mắt",Tim mạch
Tăng huyết áp,"hồi hộp, đau gáy, ù tai, mờ mắt",Tim mạch
Tăng huyết áp,"đỏ mặt từng cơn, mờ mắt, đau ngực, hồi hộp",Tim mạch
Tăng huyết áp,"đau đầu, hồi hộp, đỏ mặt từng cơn, đau gáy, chóng mặt, mờ mắt",Tim mạch
Tăng huyết áp,"đỏ mặt từng cơn, đau gáy, chóng mặt, đau ngực, mờ mắt",Tim mạch
Tăng huyết áp,"đau ngực, hồi hộp, ù tai, mờ mắt, đỏ mặt từng cơn",Tim mạch
Hạ huyết áp,"chóng mặt, hoa mắt, mệt mỏi, da xanh tái, ngất xỉu, buồn nôn, tim đập nhanh, đau đầu",Tim mạch
Hạ huyết áp,"mệt mỏi, buồn nôn, chóng mặt, đau đầu, da xanh tái",Tim mạch
Hạ huyết áp,"chóng mặt, mệt mỏi, da xanh tái, buồn nôn, hoa mắt, đau đầu",Tim mạch
Hạ huyết áp,"đau đầu, chóng mặt, hoa mắt, mệt mỏi, buồn nôn, ngất xỉu, da xanh tái",Tim mạch
Hạ huyết áp,"ngất xỉu, đau đầu, hoa mắt, mệt mỏi, da xanh tái, buồn nôn, tim đập nhanh",Tim mạch
Hạ huyết áp,"đau đầu, hoa mắt, ngất xỉu, mệt mỏi, da xanh tái, chóng mặt",Tim mạch
Hạ huyết áp,"da xanh tái, hoa mắt, ngất xỉu, mệt mỏi, đau đầu, tim đập nhanh, buồn nôn, chóng mặt",Tim mạch
Hạ huyết áp,"mệt mỏi, ngất xỉu, hoa mắt, buồn nôn, tim đập nhanh, da xanh tái, chóng mặt, đau đầu",Tim mạch
Hạ huyết áp,"chóng mặt, ngất xỉu, đau đầu, da xanh tái, hoa mắt, tim đập nhanh, buồn nôn, mệt mỏi",Tim mạch
Hạ huyết áp,"tim đập nhanh, mệt mỏi, buồn nôn, hoa mắt",Tim mạch
Nhồi máu cơ tim,"đau ngực bóp nghẹt, đau lan vai trái, đau lan hàm, đau lan tay trái, khó thở, vã mồ hôi, buồn nôn, tím tái",Tim mạch
Nhồi máu cơ tim,"đau lan tay trái, đau lan vai trái, khó thở, vã mồ hôi, đau lan hàm, tím tái, đau ngực bóp nghẹt",Tim mạch
Nhồi máu cơ tim,"tím tái, khó thở, đau lan vai trái, đau lan hàm, đau ngực bóp nghẹt, buồn nôn, vã mồ hôi, đau lan tay trái",Tim mạch
Nhồi máu cơ tim,"buồn nôn, tím tái, đau lan vai trái, đau lan tay trái, khó thở",Tim mạch
Nhồi máu cơ tim,"khó thở, đau ngực bóp nghẹt, buồn nôn, đau lan tay trái",Tim mạch
Nhồi máu cơ tim,"đau lan hàm, đau lan vai trái, đau ngực bóp nghẹt, vã mồ hôi",Tim mạch
Nhồi máu cơ tim,"đau ngực bóp nghẹt, đau lan hàm, tím tái, đau lan vai trái, đau lan tay trái",Tim mạch
Nhồi máu cơ tim,"đau lan vai trái, đau lan hàm, đau ngực bóp nghẹt, vã mồ hôi",Tim mạch
Nhồi máu cơ tim,"đau ngực bóp nghẹt, buồn nôn, khó thở, đau lan vai trái, đau lan tay trái",Tim mạch
Nhồi máu cơ tim,"đau lan hàm, vã mồ hôi, đau lan vai trái, tím tái, đau ngực bóp nghẹt, buồn nôn, khó thở",Tim mạch
Suy tim,"khó thở khi nằm, khó thở gắng sức, phù chân, mệt mỏi, ho khan, tim đập nhanh, khó thở đêm, tăng cân",Tim mạch
Suy tim,"phù chân, ho khan, khó thở gắng sức, khó thở đêm, khó thở khi nằm",Tim mạch
Suy tim,"khó thở gắng sức, phù chân, khó thở đêm, khó thở khi nằm, ho khan, tim đập nhanh",Tim mạch
Suy tim,"tăng cân, phù chân, tim đập nhanh, mệt mỏi, khó thở đêm, khó thở gắng sức",Tim mạch
Suy tim,"khó thở đêm, khó thở khi nằm, khó thở gắng sức, ho khan",Tim mạch
Suy tim,"mệt mỏi, tăng cân, khó thở gắng sức, phù chân, ho khan, khó thở đêm, tim đập nhanh, khó thở khi nằm",Tim mạch
Suy tim,"khó thở gắng sức, tim đập nhanh, khó thở đêm, phù chân, mệt mỏi, tăng cân, khó thở khi nằm",Tim mạch
Suy tim,"tăng cân, khó thở đêm, ho khan, khó thở gắng sức",Tim mạch
Suy tim,"tim đập nhanh, tăng cân, phù chân, khó thở đêm",Tim mạch
Suy tim,"mệt mỏi, tăng cân, phù chân, khó thở khi nằm, khó thở đêm",Tim mạch
Rối loạn nhịp tim,"hồi hộp, tim đập nhanh, nhịp tim loạn, chóng mặt, khó thở, đánh trống ngực, ngất xỉu, mệt mỏi",Tim mạch
Rối loạn nhịp tim,"khó thở, nhịp tim loạn, tim đập nhanh, ngất xỉu",Tim mạch
Rối loạn nhịp tim,"mệt mỏi, nhịp tim loạn, hồi hộp, tim đập nhanh",Tim mạch
Rối loạn nhịp tim,"hồi hộp, khó thở, nhịp tim loạn, đánh trống ngực, ngất xỉu, chóng mặt, mệt mỏi, tim đập nhanh",Tim mạch
Rối loạn nhịp tim,"mệt mỏi, khó thở, ngất xỉu, hồi hộp, chóng mặt",Tim mạch
Rối loạn nhịp tim,"chóng mặt, tim đập nhanh, hồi hộp, khó thở, đánh trống ngực",Tim mạch
Rối loạn nhịp tim,"ngất xỉu, nhịp tim loạn, tim đập nhanh, chóng mặt, đánh trống ngực, hồi hộp, khó thở",Tim mạch
Rối loạn nhịp tim,"đánh trống ngực, mệt mỏi, hồi hộp, khó thở, tim đập nhanh, chóng mặt",Tim mạch
Rối loạn nhịp tim,"khó thở, đánh trống ngực, mệt mỏi, chóng mặt, tim đập nhanh, nhịp tim loạn, ngất xỉu, hồi hộp",Tim mạch
Rối loạn nhịp tim,"tim đập nhanh, hồi hộp, chóng mặt, ngất xỉu, nhịp tim loạn",Tim mạch
Hẹp van hai lá,"khó thở gắng sức, ho ra máu, hồi hộp, phù chân, mệt mỏi, đau ngực, ho khan, tim đập nhanh",Tim mạch
Hẹp van hai lá,"hồi hộp, tim đập nhanh, mệt mỏi, ho ra máu, đau ngực",Tim mạch
Hẹp van hai lá,"ho khan, khó thở gắng sức, mệt mỏi, tim đập nhanh, ho ra máu",Tim mạch
Hẹp van hai lá,"phù chân, ho khan, tim đập nhanh, đau ngực, khó thở gắng sức, hồi hộp, mệt mỏi, ho ra máu",Tim mạch
Hẹp van hai lá,"hồi hộp, đau ngực, phù chân, ho ra máu, ho khan, tim đập nhanh",Tim mạch
Hẹp van hai lá,"đau ngực, tim đập nhanh, ho khan, ho ra máu, mệt mỏi, hồi hộp, phù chân",Tim mạch
Hẹp van hai lá,"hồi hộp, khó thở gắng sức, đau ngực, ho khan, phù chân, tim đập nhanh",Tim mạch
Hẹp van hai lá,"khó thở gắng sức, ho ra máu, mệt mỏi, ho khan, phù chân, tim đập nhanh, hồi hộp, đau ngực",Tim mạch
Hẹp van hai lá,"ho ra máu, tim đập nhanh, phù chân, ho khan, mệt mỏi, khó thở gắng sức, hồi hộp, đau ngực",Tim mạch
Hẹp van hai lá,"hồi hộp, ho khan, ho ra máu, đau ngực",Tim mạch
Hở van hai lá,"khó thở, mệt mỏi, hồi hộp, phù chân, tim đập nhanh, đau ngực, ho khan, khó thở khi nằm",Tim mạch
Hở van hai lá,"đau ngực, tim đập nhanh, ho khan, phù chân, hồi hộp, mệt mỏi, khó thở",Tim mạch
Hở van hai lá,"khó thở khi nằm, khó thở, ho khan, mệt mỏi, đau ngực, tim đập nhanh, hồi hộp, phù chân",Tim mạch
Hở van hai lá,"đau ngực, phù chân, tim đập nhanh, khó thở khi nằm, ho khan",Tim mạch
Hở van hai lá,"ho khan, tim đập nhanh, đau ngực, hồi hộp, khó thở khi nằm",Tim mạch
Hở van hai lá,"ho khan, phù chân, hồi hộp, khó thở khi nằm, khó thở, đau ngực, mệt mỏi",Tim mạch
Hở van hai lá,"mệt mỏi, tim đập nhanh, khó thở khi nằm, đau ngực",Tim mạch
Hở van hai lá,"phù chân, mệt mỏi, khó thở khi nằm, khó thở",Tim mạch
Hở van hai lá,"phù chân, đau ngực, tim đập nhanh, khó thở, ho khan, khó thở khi nằm, hồi hộp",Tim mạch
Hở van hai lá,"hồi hộp, khó thở khi nằm, ho khan, phù chân, mệt mỏi, đau ngực, tim đập nhanh",Tim mạch
Bệnh mạch vành,"đau ngực khi gắng sức, đau lan vai trái, khó thở, mệt mỏi, hồi hộp, tức ngực, vã mồ hôi, buồn nôn",Tim mạch
Bệnh mạch vành,"hồi hộp, vã mồ hôi, đau lan vai trái, khó thở, tức ngực, buồn nôn",Tim mạch
Bệnh mạch vành,"tức ngực, buồn nôn, khó thở, đau lan vai trái, vã mồ hôi, đau ngực khi gắng sức, hồi hộp, mệt mỏi",Tim mạch
Bệnh mạch vành,"khó thở, hồi hộp, mệt mỏi, đau lan vai trái, buồn nôn, đau ngực khi gắng sức, tức ngực",Tim mạch
Bệnh mạch vành,"hồi hộp, đau lan vai trái, đau ngực khi gắng sức, khó thở, mệt mỏi, buồn nôn, vã mồ hôi, tức ngực",Tim mạch
Bệnh mạch vành,"tức ngực, buồn nôn, khó thở, vã mồ hôi, hồi hộp, mệt mỏi, đau ngực khi gắng sức",Tim mạch
Bệnh mạch vành,"vã mồ hôi, mệt mỏi, đau lan vai trái, buồn nôn, đau ngực khi gắng sức",Tim mạch
Bệnh mạch vành,"tức ngực, hồi hộp, khó thở, đau ngực khi gắng sức",Tim mạch
Bệnh mạch vành,"đau ngực khi gắng sức, buồn nôn, khó thở, tức ngực, mệt mỏi, đau lan vai trái, hồi hộp",Tim mạch
Bệnh mạch vành,"khó thở, hồi hộp, tức ngực, vã mồ hôi",Tim mạch
Đau thắt ngực ổn định,"đau ngực khi gắng sức, đau lan vai trái, khó thở, tức ngực, đau lan hàm, vã mồ hôi, hồi hộp",Tim mạch
Đau thắt ngực ổn định,"đau ngực khi gắng sức, đau lan hàm, vã mồ hôi, tức ngực, hồi hộp, khó thở",Tim mạch
Đau thắt ngực ổn định,"khó thở, đau lan vai trái, tức ngực",Tim mạch
Đau thắt ngực ổn định,"đau ngực khi gắng sức, đau lan vai trái, khó thở, đau lan hàm, vã mồ hôi",Tim mạch
Đau thắt ngực ổn định,"đau lan vai trái, khó thở, hồi hộp, đau lan hàm, tức ngực, đau ngực khi gắng sức",Tim mạch
Đau thắt ngực ổn định,"đau lan vai trái, vã mồ hôi, tức ngực, hồi hộp",Tim mạch
Đau thắt ngực ổn định,"vã mồ hôi, đau lan hàm, tức ngực, hồi hộp, đau lan vai trái, đau ngực khi gắng sức, khó thở",Tim mạch
Đau thắt ngực ổn định,"đau lan hàm, vã mồ hôi, hồi hộp",Tim mạch
Đau thắt ngực ổn định,"khó thở, đau ngực khi gắng sức, tức ngực, đau lan hàm",Tim mạch
Đau thắt ngực ổn định,"đau ngực khi gắng sức, đau lan hàm, tức ngực",Tim mạch
Viêm cơ tim,"đau ngực, khó thở, mệt mỏi, sốt nhẹ, hồi hộp, nhịp tim loạn, phù chân, ngất xỉu",Tim mạch
Viêm cơ tim,"nhịp tim loạn, ngất xỉu, đau ngực, mệt mỏi, sốt nhẹ, phù chân, hồi hộp, khó thở",Tim mạch
Viêm cơ tim,"phù chân, sốt nhẹ, khó thở, hồi hộp, nhịp tim loạn, đau ngực",Tim mạch
Viêm cơ tim,"phù chân, nhịp tim loạn, ngất xỉu, sốt nhẹ, đau ngực, mệt mỏi",Tim mạch
Viêm cơ tim,"phù chân, mệt mỏi, sốt nhẹ, hồi hộp",Tim mạch
Viêm cơ tim,"đau ngực, mệt mỏi, sốt nhẹ, hồi hộp",Tim mạch
Viêm cơ tim,"mệt mỏi, nhịp tim loạn, khó thở, sốt nhẹ, ngất xỉu",Tim mạch
Viêm cơ tim,"phù chân, hồi hộp, sốt nhẹ, ngất xỉu, nhịp tim loạn, mệt mỏi, khó thở, đau ngực",Tim mạch
