disease_name,symptoms,department_name
Đột quỵ não,"liệt nửa người, méo miệng, nói ngọng, đau đầu dữ dội đột ngột, mờ mắt",Thần kinh
Đột quỵ não,"yếu liệt tay chân, méo miệng, nói khó, đau đầu đột ngột",Thần kinh
Đột quỵ não,"tê liệt nửa người, khó nói, mờ mắt đột ngột, đau đầu dữ dội",Thần kinh
Đột quỵ não,"méo miệng đột ngột, yếu tay chân, nói không rõ, chóng mặt",Thần kinh
Đột quỵ não,"liệt mặt, nói ngọng, yếu nửa người, mất thăng bằng đột ngột",Thần kinh
Viêm màng não,"đau đầu dữ dội, sốt cao, cứng gáy, sợ ánh sáng, buồn nôn, nôn",Thần kinh
Viêm màng não,"sốt cao, đau đầu dữ dội, cổ cứng, sợ sáng, co giật",Thần kinh
Viêm màng não,"đau đầu nặng, sốt, cứng cổ, buồn nôn, nôn, sợ ánh sáng",Thần kinh
Viêm màng não,"cứng gáy, sốt cao, đau đầu, buồn nôn, lo lắng, sợ ánh sáng",Thần kinh
Viêm màng não,"sốt, đau đầu cứng cổ, buồn nôn, sợ tiếng động, co giật",Thần kinh
Đau nửa đầu,"đau nửa đầu, buồn nôn, nhạy cảm ánh sáng, nhạy cảm tiếng ồn, nôn",Thần kinh
Đau nửa đầu,"đau đầu một bên dữ dội, buồn nôn, sợ ánh sáng, nhức một bên thái dương",Thần kinh
Đau nửa đầu,"đau đầu dữ dội một bên, nôn, sợ sáng, sợ tiếng ồn",Thần kinh
Đau nửa đầu,"nhức đầu một bên, buồn nôn, nhìn thấy chớp sáng, sợ ánh sáng",Thần kinh
Đau nửa đầu,"đau đầu nặng một bên, nôn mửa, không chịu được ánh sáng",Thần kinh
Parkinson,"run tay, cứng cơ, chậm chạp, mất thăng bằng, dáng đi nhỏ bước",Thần kinh
Parkinson,"run tay lúc nghỉ, cứng cơ, đi chậm, mặt ít biểu cảm",Thần kinh
Parkinson,"tay run, cơ cứng, đi đứng khó, giọng nói nhỏ",Thần kinh
Parkinson,"run chân tay, cứng người, chậm chạp, mất thăng bằng",Thần kinh
Parkinson,"run rẩy tay chân, cứng cơ, đi dáng khom, chậm vận động",Thần kinh
Viêm khớp dạng thấp,"đau khớp, sưng khớp, cứng khớp buổi sáng, mệt mỏi, sốt nhẹ",Cơ xương khớp
Viêm khớp dạng thấp,"sưng đau nhiều khớp, cứng khớp sáng sớm, mệt mỏi, chán ăn",Cơ xương khớp
Viêm khớp dạng thấp,"khớp sưng đỏ đau, cứng buổi sáng, mệt mỏi, sốt nhẹ",Cơ xương khớp
Viêm khớp dạng thấp,"đau nhiều khớp, sưng khớp, cứng buổi sáng, sụt cân nhẹ",Cơ xương khớp
Viêm khớp dạng thấp,"khớp đau sưng đối xứng, cứng sáng, mệt mỏi",Cơ xương khớp
Gout,"đau khớp cấp dữ dội, sưng đỏ khớp ngón chân cái, nóng khớp",Cơ xương khớp
Gout,"đau khớp đột ngột về đêm, sưng đỏ nóng khớp, thường ở bàn chân",Cơ xương khớp
Gout,"cơn đau khớp cấp, khớp sưng đỏ nóng, đau nhiều về đêm",Cơ xương khớp
Gout,"đau nhức khớp dữ dội, sưng đỏ khớp ngón chân, đau khi chạm",Cơ xương khớp
Gout,"đau khớp cấp, sưng khớp nóng đỏ, đau nhiều ngón chân cái",Cơ xương khớp
Thoát vị đĩa đệm,"đau lưng dữ dội, đau lan xuống mông và chân, tê chân, yếu chân",Cơ xương khớp
Thoát vị đĩa đệm,"đau lưng dưới, đau lan xuống chân, tê bì chân, đi lại khó",Cơ xương khớp
Thoát vị đĩa đệm,"đau thắt lưng, đau lan theo dây thần kinh tọa, tê chân",Cơ xương khớp
Thoát vị đĩa đệm,"đau lưng cột sống, đau lan xuống chân, tê liệt, yếu cơ",Cơ xương khớp
Thoát vị đĩa đệm,"đau lưng dưới lan chân, tê chân, đứng ngồi khó khăn",Cơ xương khớp
Viêm da dị ứng,"ngứa da, phát ban đỏ, da bong tróc, ẩm ướt, da khô",Da liễu
Viêm da dị ứng,"ngứa nhiều, đỏ da, nổi mụn nước, bong tróc, khô da",Da liễu
Viêm da dị ứng,"ngứa, phát ban, đỏ da, bong tróc, viêm da",Da liễu
Viêm da dị ứng,"da đỏ ngứa, mụn nước, bong tróc, chảy dịch",Da liễu
Viêm da dị ứng,"ngứa dữ dội, đỏ da, phát ban, khô bong",Da liễu
Mề đay,"nổi mề đay, ngứa nhiều, phù nề, mẩn đỏ toàn thân",Da liễu
Mề đay,"nổi ban đỏ ngứa, mề đay, sưng phù môi mắt",Da liễu
Mề đay,"ngứa toàn thân, nổi mề đay, sưng phù, mẩn đỏ",Da liễu
Mề đay,"ban mề đay, ngứa dữ dội, sưng phù môi, phát ban đỏ",Da liễu
Mề đay,"nổi mẩn đỏ ngứa, mề đay nhiều vùng da, sưng",Da liễu
Vảy nến,"vảy trắng trên da, đỏ da, ngứa, bong tróc, móng tay dày",Da liễu
Vảy nến,"vảy da dày, đỏ, ngứa, bong tróc da nhiều",Da liễu
Vảy nến,"da có mảng đỏ phủ vảy trắng, ngứa, bong tróc",Da liễu
Vảy nến,"vảy bạc trên da đỏ, ngứa, bong tróc liên tục",Da liễu
Vảy nến,"mảng đỏ vảy trắng, ngứa, bong da, móng tay dày",Da liễu
Đục thủy tinh thể,"mờ mắt dần dần, nhìn mờ, nhạy cảm ánh sáng, nhìn đôi, nhìn như sương mù",Mắt
Đục thủy tinh thể,"nhìn mờ, mờ mắt tiến triển, nhìn chói, màu sắc nhạt",Mắt
Đục thủy tinh thể,"mờ mắt, nhìn sương mù, chói sáng, nhìn đôi đôi khi",Mắt
Đục thủy tinh thể,"thị lực giảm, nhìn mờ đục, nhạy sáng, khó đọc",Mắt
Đục thủy tinh thể,"mờ mắt dần, nhìn kém, chói sáng, cần thay kính thường xuyên",Mắt
Glaucoma,"đau mắt, tăng nhãn áp, nhìn thấy quầng sáng, mờ mắt, đau đầu",Mắt
Glaucoma,"đau nhức mắt, nhìn mờ, thấy quầng sáng quanh đèn, đau đầu",Mắt
Glaucoma,"đau mắt dữ dội, mờ mắt, buồn nôn, nhìn quầng sáng",Mắt
Glaucoma,"nhức mắt, mờ mắt, đau đầu vùng trán, nhìn quầng",Mắt
Glaucoma,"đau mắt, giảm thị lực, nhìn thấy quầng, đau đầu vùng mắt",Mắt
Viêm kết mạc,"đỏ mắt, chảy nước mắt, ngứa mắt, ghèn nhiều, sưng mi",Mắt
Viêm kết mạc,"mắt đỏ, ngứa mắt, chảy nước mắt, ghèn, mắt cộm",Mắt
Viêm kết mạc,"ngứa mắt, đỏ mắt, sưng mi, chảy ghèn, cộm mắt",Mắt
Viêm kết mạc,"đỏ mắt, ngứa, chảy nước mắt nhiều, ghèn mắt",Mắt
Viêm kết mạc,"mắt đỏ hồng, ngứa, cộm, chảy ghèn, sưng mi mắt",Mắt
Viêm họng,"đau họng, sốt, khó nuốt, khàn giọng, đỏ họng",Tai Mũi Họng
Viêm họng,"đau họng, sốt nhẹ, nuốt khó, khàn tiếng, đau tai",Tai Mũi Họng
Viêm họng,"đau rát họng, sốt, khó nuốt, mệt mỏi",Tai Mũi Họng
Viêm họng,"đau họng, sốt, chán ăn, nuốt đau, khàn giọng",Tai Mũi Họng
Viêm họng,"rát họng, đau khi nuốt, sốt nhẹ, chảy mũi",Tai Mũi Họng
Viêm xoang,"đau đầu, chảy mũi, nghẹt mũi, đau vùng mặt, mất mùi",Tai Mũi Họng
Viêm xoang,"nghẹt mũi, đau đầu, chảy mũi đặc vàng xanh, đau mặt",Tai Mũi Họng
Viêm xoang,"đau vùng mặt, nghẹt mũi, chảy mũi, đau đầu, sốt nhẹ",Tai Mũi Họng
Viêm xoang,"đau mặt, chảy mũi đục, nghẹt mũi, đau đầu",Tai Mũi Họng
Viêm xoang,"nghẹt mũi, đau đầu, mất mùi, chảy mũi vàng xanh",Tai Mũi Họng
Viêm tai giữa,"đau tai, ù tai, sốt, chảy dịch tai, nghe kém",Tai Mũi Họng
Viêm tai giữa,"đau tai dữ dội, sốt, ù tai, chảy mủ tai",Tai Mũi Họng
Viêm tai giữa,"đau tai, sốt, nghe kém, chảy dịch tai, ù tai",Tai Mũi Họng
Viêm tai giữa,"nhức tai, sốt, ù tai, chảy mủ, nghe giảm",Tai Mũi Họng
Viêm tai giữa,"đau trong tai, sốt, chảy nước tai, nghe kém",Tai Mũi Họng
Đái tháo đường type 2,"khát nước nhiều, tiểu nhiều, mệt mỏi, sụt cân, mờ mắt, ngứa da",Nội tiết
Đái tháo đường type 2,"uống nhiều, tiểu nhiều, mệt, gầy, nhìn mờ",Nội tiết
Đái tháo đường type 2,"khát nhiều, đái nhiều, mệt mỏi, sụt cân, vết thương lâu lành",Nội tiết
Đái tháo đường type 2,"tiểu nhiều, khát nước, mệt mỏi, mờ mắt, tê bàn chân",Nội tiết
Đái tháo đường type 2,"khát nước liên tục, tiểu nhiều lần, mệt mỏi, sụt cân",Nội tiết
Cường giáp,"sụt cân, hồi hộp tim đập nhanh, ra mồ hôi nhiều, run tay, tiêu chảy",Nội tiết
Cường giáp,"tim đập nhanh, sụt cân, hồi hộp, run tay, mồ hôi nhiều",Nội tiết
Cường giáp,"run tay, tim đập loạn, sụt cân, ra mồ hôi, lo lắng",Nội tiết
Cường giáp,"hồi hộp, sụt cân nhanh, run tay, tiêu chảy, khó ngủ",Nội tiết
Cường giáp,"run tay, tim đập nhanh, sụt cân, vã mồ hôi, mệt",Nội tiết
Suy giáp,"mệt mỏi nhiều, tăng cân, táo bón, lạnh, phù mặt, tóc rụng",Nội tiết
Suy giáp,"mệt mỏi, tăng cân không rõ lý do, táo bón, cảm thấy lạnh, da khô",Nội tiết
Suy giáp,"chậm chạp, mệt mỏi, tăng cân, lạnh, táo bón, da khô",Nội tiết
Suy giáp,"tăng cân, lạnh người, táo bón, mệt mỏi, tóc rụng, giọng khàn",Nội tiết
Suy giáp,"mệt mỏi liên tục, tăng cân, da khô, lạnh tay chân, táo bón",Nội tiết
Thiếu máu,"mệt mỏi, da xanh tái, chóng mặt, khó thở khi gắng sức, tim đập nhanh",Huyết học
Thiếu máu,"da nhợt nhạt, mệt mỏi, chóng mặt, đau đầu, khó thở nhẹ",Huyết học
Thiếu máu,"xanh xao, mệt, chóng mặt, khó thở, tim đập nhanh",Huyết học
Thiếu máu,"da xanh, mệt mỏi, hoa mắt, khó thở khi vận động",Huyết học
Thiếu máu,"mệt mỏi nhiều, da tái, chóng mặt, nhức đầu, yếu ớt",Huyết học
Xuất huyết giảm tiểu cầu,"bầm tím tự nhiên, chảy máu mũi, chảy máu chân răng, xuất huyết da",Huyết học
Xuất huyết giảm tiểu cầu,"dễ bầm tím, chảy máu mũi, chân răng chảy máu, đốm xuất huyết da",Huyết học
Xuất huyết giảm tiểu cầu,"xuất huyết da, bầm tím, chảy máu nướu, kinh nhiều",Huyết học
Xuất huyết giảm tiểu cầu,"bầm tím không rõ, chảy máu không cầm, xuất huyết dưới da",Huyết học
Xuất huyết giảm tiểu cầu,"vết bầm tự nhiên, chảy máu mũi, lợi răng chảy máu, mệt mỏi",Huyết học
Sỏi thận,"đau lưng dữ dội từng cơn, tiểu máu, buồn nôn, đau lan vùng bẹn",Thận tiết niệu
Sỏi thận,"đau quặn thận, tiểu ra máu, buồn nôn, nôn, đau lưng",Thận tiết niệu
Sỏi thận,"đau lưng dữ dội, tiểu máu, buồn nôn, đau bụng dưới",Thận tiết niệu
Sỏi thận,"cơn đau quặn lưng, tiểu máu đỏ, buồn nôn, khó chịu",Thận tiết niệu
Sỏi thận,"đau lưng từng cơn, nước tiểu có máu, buồn nôn, đau bẹn",Thận tiết niệu
Nhiễm trùng đường tiểu,"tiểu buốt, tiểu rắt, đau vùng hạ vị, sốt, nước tiểu đục",Thận tiết niệu
Nhiễm trùng đường tiểu,"tiểu đau, tiểu thường xuyên, đau bụng dưới, sốt nhẹ",Thận tiết niệu
Nhiễm trùng đường tiểu,"buốt tiểu, tiểu rắt, đau vùng bàng quang, sốt",Thận tiết niệu
Nhiễm trùng đường tiểu,"tiểu buốt, tiểu lắt nhắt, đau hạ vị, nước tiểu có mùi",Thận tiết niệu
Nhiễm trùng đường tiểu,"tiểu đau rát, tiểu nhiều lần, đau bụng dưới, sốt nhẹ",Thận tiết niệu
Tay chân miệng,"loét miệng, phát ban tay chân, sốt, biếng ăn, đau miệng",Nhi khoa
Tay chân miệng,"mụn nước tay chân, loét miệng, sốt, quấy khóc, chảy dãi",Nhi khoa
Tay chân miệng,"sốt, phát ban tay chân miệng, loét lợi, biếng ăn",Nhi khoa
Tay chân miệng,"nổi bọng nước tay chân, loét miệng, sốt, không ăn được",Nhi khoa
Tay chân miệng,"bọng nước lòng bàn tay bàn chân, loét miệng, sốt",Nhi khoa
Viêm nhiễm phụ khoa,"ngứa vùng kín, khí hư bất thường, đau vùng chậu, mùi hôi",Sản phụ khoa
Viêm nhiễm phụ khoa,"khí hư nhiều bất thường, ngứa, đau bụng dưới, mùi",Sản phụ khoa
Viêm nhiễm phụ khoa,"huyết trắng bất thường, ngứa vùng kín, đau vùng chậu",Sản phụ khoa
Viêm nhiễm phụ khoa,"ngứa âm đạo, tiết dịch bất thường, đau bụng dưới",Sản phụ khoa
Viêm nhiễm phụ khoa,"ngứa vùng kín, khí hư lạ, đau vùng chậu, nóng rát",Sản phụ khoa
Lạc nội mạc tử cung,"đau bụng dưới dữ dội khi kinh, kinh nguyệt nhiều, đau khi quan hệ",Sản phụ khoa
Lạc nội mạc tử cung,"đau bụng kinh nặng, kinh nguyệt nhiều, đau khi giao hợp, vô sinh",Sản phụ khoa
Lạc nội mạc tử cung,"đau bụng dưới khi hành kinh, kinh nhiều, đau lưng dưới",Sản phụ khoa
Lạc nội mạc tử cung,"đau bụng kinh dữ dội, kinh ra nhiều, đau khi quan hệ",Sản phụ khoa
Lạc nội mạc tử cung,"đau kinh nguyệt dữ dội, kinh nhiều, đau bụng dưới liên tục",Sản phụ khoa
